Dataset,,FFHQ,FFHQ,FFHQ,ImageNet,ImageNet,ImageNet
Metric,,PSNR,SSIM,LPIPS,PSNR,SSIM,LPIPS
Task,Method,,,,,,
Symmetric,baseline,20.02,0.725,0.303,21.13,0.736,0.283
Symmetric,pixel-4k,25.72,0.809,0.183,26.84,0.799,0.181
Symmetric,pixel-1k,24.11,0.782,0.202,25.09,0.783,0.199
Symmetric,ldm-1k,23.17,0.773,0.260,26.82,0.798,0.274
Symmetric,sd1.5-1k,23.39,0.786,0.217,24.92,0.803,0.223
Overexposed,baseline,16.44,0.773,0.356,17.75,0.728,0.342
Overexposed,pixel-4k,22.49,0.849,0.182,22.51,0.762,0.311
Overexposed,pixel-1k,22.69,0.834,0.188,20.20,0.719,0.341
Overexposed,ldm-1k,23.53,0.853,0.228,21.88,0.777,0.391
Overexposed,sd1.5-1k,20.56,0.859,0.258,21.53,0.810,0.307
Underexposed,baseline,13.40,0.569,0.436,16.96,0.616,0.400
Underexposed,pixel-4k,19.49,0.657,0.310,22.28,0.695,0.333
Underexposed,pixel-1k,16.64,0.615,0.338,18.61,0.598,0.408
Underexposed,ldm-1k,19.11,0.692,0.359,20.39,0.654,0.413
Underexposed,sd1.5-1k,17.86,0.676,0.345,21.62,0.732,0.303
